source,target,relationship,edge_type,metadata
17f69a221c9l0i2ojlqe4t4u5lk6pc,17f69869a3bl0i2m72p0sbjub568ch,found_in,location,{}
17f69ddf39dl0i2ojm1riku8s6qxfs,17f69d6cc12l0i2maurcz3u35zq1e6,found_in,location,{}
17f69af3e48l0i2ojme5z01n0gziz,17f69ad0772l0i2ma7gusqx8w2s1ao,found_in,location,{}
17f69b266a8l0i2okbqoh1wxlp59l,17f69eb0b5al0i2mfvs8tpdxql60r,found_in,location,{}
17f69b2abd8l0i2oki2301lpwzqbe8,17f69c9c269l0i2mfxzgqbh7ffwoxe,found_in,location,{}
17f69f7be15l0i2oki48thaky6x3tg,17f696bd5cdl0i2mhe4ogfvk5y4fnk,found_in,location,{}
17f69cd42f7l0i2ol82u1cg8l2ia3d,17f69b97ce8l0i2ms4ikyh4h5oxhve,found_in,location,{}
17f69768ff6l0i2olppqo9yb2ltjcb,17f69d5a094l0i2mata8cfyj4ci55t,found_in,location,{}
17f69b2925el0i2olviqhconjh7a7i,17f696fcc61l0i2mesvptc01pvt2k,found_in,location,{}
17f69b242a4l0i2onfyowzjcqnhqab,17f69a8e6e3l0i2mbkue80sw8q9e9m,found_in,location,{}
17f69b22fd9l0i2ono62dded63kgv,17f69a08d1al0i2mbb18pbuvaqj0nv,found_in,location,{}
17f69a53534l0i2ooknu8c8fgegqyk,17f69e79661l0i2m9c3uzzwon60ru,found_in,location,{}
17f69f5e08al0i2opgccucgwqfl6n6,17f698099f7l0i2miaetoao4rp6xtb,found_in,location,{}
17f69cd5735l0i2opwywnh7fxq5rof,17f69630438l0i2mqvzhowrb84vyy,found_in,location,{}
17f696fdac2l0i2oq2molwm1a5hu8i,17f6973267cl0i2mjmwm9vdpxj72u,found_in,location,{}
17f6974b8aal0i2oq6qbzsegb120iw,17f69a3ca6bl0i2m99b111ivu2aamcc,found_in,location,{}
17f69b6a938l0i2oqf3un7j999hkw,17f6981d80cl0i2mlvehfutqz69f7c,found_in,location,{}
17f69eff01al0i2oqjvfu73rchcwbv,17f69922e0fl0i2mlawpo9eps0kqe,found_in,location,{}
17f69958b0al0i2oqm9ou8yw1ogg8,17f69a317f4l0i2m9zw0s2ceqss32f,found_in,location,{}
17f699524dal0i2oqpa3288ofa2qpo,17f69c6be62l0i2mjs3roacssjuxza,found_in,location,{}
17f69719075l0i2oqs9tcpu9et7pj,17f696874a9l0i2mkds3uzk8ol689w,found_in,location,{}
17f69e76b78l0i2or85s9z9chrhhg8,17f69c84fbal0i2mmf3h8h45isx18a,found_in,location,{}
17f699f1b44l0i2orwujvu4mfw544,17f69671b3cl0i2meu31aoc55gpu6w,found_in,location,{}
17f695abef9l0i1ujzrup5y0z7rw6,17f69ac78dcl0i1pke5of594dboffh,drops,drop,{}
17f69b85929l0i1ukc4l2up7yp9v0i,17f69bb8933l0i2mjfr92f3f404f5,found_in,location,{}
17f69b85929l0i1ukc4l2up7yp9v0i,wiki_meteorite,drops,drop,{}
17f69a3ca37l0i1ukd1lq14ctafbk,17f69dacb4bl0i2mhubpixrap5onq,found_in,location,{}
17f69a3ca37l0i1ukd1lq14ctafbk,17f6964ed65l0hynyrzn67dmtv89e,drops,drop,{}
17f69a63610l0i1ukyx7xgx6vf0zoa,17f69773db5l0hyo3532itzerrsdj,drops,drop,{}
17f69590896l0i1ul0hnmor8iyf9xd,wiki_ancestral_follower_ashes,drops,drop,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f698df3ebl0i2mdikdnz45fhyrc7,found_in,location,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f697036fbl0i2mtt1y66q5foxdq,found_in,location,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f69f6b0d2l0i2su0uxibci7qzsn,drops,drop,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f6951db06l0i1or16gi01imzlv6v,drops,drop,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f69466705l0i0pdkl9qzvc1ca9lv,drops,drop,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f697fc762l0i0o5zexo0qk2z7ts9,drops,drop,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f69a8afbbl0i0ol3s36b3idrf5x5,drops,drop,{}
17f69878c4al0i1ul0i7dsfou8igrk,17f695e6e41l0i0prslappmip8fo8i,drops,drop,{}
17f69bcfd7dl0i1ul502rklvi8tx62,17f69dfae57l0i2mwa08uny35m2uqf,found_in,location,{}
17f69bcfd7dl0i1ul502rklvi8tx62,wiki_meteorite_of_astel,drops,drop,{}
17f69d4387al0i1ulpqqumwqw05j3c,17f69bc29c9l0i2m8mjnl6ac43o3sa,found_in,location,{}
17f69d4387al0i1ulpqqumwqw05j3c,17f6969e375l0i2srh8fpkcyede0z,drops,drop,{}
17f69d7fe72l0i1ultk418yedh25s7,17f69bc29c9l0i2m8mjnl6ac43o3sa,found_in,location,{}
17f69d7fe72l0i1ultk418yedh25s7,17f69a52fdal0i2mscdgudt5b894m5,found_in,location,{}
17f69d7fe72l0i1ultk418yedh25s7,17f6969e375l0i2srh8fpkcyede0z,drops,drop,{}
17f69c4aacel0i1uluegh15idblimv,17f69d5a094l0i2mata8cfyj4ci55t,found_in,location,{}
17f69c4aacel0i1uluegh15idblimv,17f69a317f4l0i2m9zw0s2ceqss32f,found_in,location,{}
17f69c4aacel0i1uluegh15idblimv,17f69c9c269l0i2mfxzgqbh7ffwoxe,found_in,location,{}
17f69c4aacel0i1uluegh15idblimv,17f696d8354l0i2mogg6n9e7genjdc,found_in,location,{}
17f69c4aacel0i1uluegh15idblimv,wiki_bone_peddlers_bell_bearing,drops,drop,{}
17f69a61779l0i1ulv0a3ru8iy0zh5,17f69d4d41el0i1p7vs0vjortsg7oc,drops,drop,{}
17f69a61779l0i1ulv0a3ru8iy0zh5,17f69a5df3cl0i1pboo1un3fj711tg,drops,drop,{}
17f69a61779l0i1ulv0a3ru8iy0zh5,17f699ef109l0i1oj1cqtn6euxicod,drops,drop,{}
