node_id,in_degree,out_degree,betweenness,pagerank
17f695abef9l0i1ujzrup5y0z7rw6,0,7,0.0,0.0004023146579145736
17f69b4ba0al0i1uk6s98t1nbtxunt,7,18,0.0,0.0005103317206935559
17f69d0313fl0i1uk8pokynv71bkz8,7,13,0.0,0.0005530338942531894
17f69b85929l0i1ukc4l2up7yp9v0i,9,18,1.965575580456042e-05,0.0006028929483165557
17f69a3ca37l0i1ukd1lq14ctafbk,0,2,0.0,0.0004023146579145736
17f69a63610l0i1ukyx7xgx6vf0zoa,0,7,0.0,0.0004023146579145736
17f69590896l0i1ul0hnmor8iyf9xd,0,2,0.0,0.0004023146579145736
17f69878c4al0i1ul0i7dsfou8igrk,0,9,0.0,0.0004023146579145736
17f697240ecl0i1ul21nevug9wq54e,0,6,0.0,0.0004023146579145736
17f69bcfd7dl0i1ul502rklvi8tx62,0,0,0.0,0.0004023146579145736
17f69d4387al0i1ulpqqumwqw05j3c,0,4,0.0,0.0004023146579145736
17f69d7fe72l0i1ultk418yedh25s7,1,4,2.3970433908000515e-07,0.00048786738987178233
17f69c4aacel0i1uluegh15idblimv,2,3,1.4382260344800308e-06,0.0006282496716738191
17f69a61779l0i1ulv0a3ru8iy0zh5,4,11,7.670538850560165e-06,0.0005198794555570958
17f69bd3c06l0i1ulx2jxbiogta1i,0,5,0.0,0.0004023146579145736
17f69637e92l0i1um8wqsflgk3i9yr,0,21,0.0,0.0004023146579145736
17f697f48d5l0i1umdbu7v5phffgq,2,19,4.794086781600103e-07,0.0004340919918111853
17f69563d15l0i1umhb4am3xzuib3g,1,28,1.677930373560036e-06,0.000415476616677221
17f69d6ca41l0i1umlxg0j36mhrnzr,4,6,1.917634712640041e-06,0.0006100622307774548
17f698b7d2fl0i1umtkf7cu5a21hdw,0,10,0.0,0.0004023146579145736
17f69562d87l0i1umxu2qwle86ai8q,0,13,0.0,0.0004023146579145736
17f699b0755l0i1un48m87fngquaw,0,6,0.0,0.0004023146579145736
17f695b37c1l0i1ungf7vjojqaf4zp,0,3,0.0,0.0004023146579145736
17f69e151d8l0i1uo19hl8r6l0snmo,31,26,0.00042315006977793323,0.0013072554775201849
17f69bcc1cdl0i1uoai2hm5tcbuhh2,8,4,4.314678103440092e-06,0.0007424134865502447
17f6961da46l0i1uoh7hemoben3dtg,0,3,0.0,0.0004023146579145736
17f69559137l0i1uoqf3qzndh0901t,0,10,0.0,0.0004023146579145736
17f69518792l0i1up7fr7vzvqcmzf,0,3,0.0,0.0004023146579145736
17f69b39c43l0i1up7iq7q4lvvgyc,6,3,1.4382260344800308e-06,0.0008998318489119853
17f69625d6el0i1upqw478c5kvsjv3,0,2,0.0,0.0004023146579145736
17f69de1071l0i1uprrms3umg3rug,1,3,3.595565086200077e-07,0.000573420121828991
17f69b43b78l0i1upyrupf0wna8q7a,0,3,0.0,0.0004023146579145736
17f69a6fae3l0i1uq63au7m71cs8mh,4,12,3.020274672408065e-05,0.0005419636541227419
17f699200d2l0i1uqbs9w1ijmp2ner,0,3,0.0,0.0004023146579145736
17f69bf3366l0i1uqds10qc8exqn1ik,2,5,4.794086781600103e-07,0.0005374977130383041
17f699dadfbl0i1uqmgi50oii11eaj,0,2,0.0,0.0004023146579145736
17f695cb903l0i1uqqf40ik8th6wqw,0,3,0.0,0.0004023146579145736
17f69579c3dl0i1uqxt6ul73e103ur,2,5,1.4382260344800308e-06,0.000573420121828991
17f6969fb51l0i1ur3o74ppc7h3gl5,0,13,0.0,0.0004023146579145736
17f69aae933l0i1urbz9zyz3jjvhjf,6,13,6.766054477764945e-05,0.0006089730824887981
17f69c5a361l0i1urf5b4r5s5cf125,0,1,0.0,0.0004023146579145736
17f695d42c3l0i1uriibjok1ydfodg,0,1,0.0,0.0004023146579145736
17f69725115l0i1urx3t47u0gfs43,1,23,1.4382260344800308e-06,0.0004186104163826133
17f69ba1aa7l0i1us08w3dodkoeju,2,8,4.794086781600103e-07,0.0004829517597709956
17f69846e66l0i1us1stxjbqloi1z,2,10,4.794086781600103e-07,0.00046178482375713837
17f696b2a70l0i1us26mtvbp7p85,0,1,0.0,0.0004023146579145736
17f699fafc0l0i1usmk2s2oybvx44a,4,4,0.0,0.0006118342699517715
17f6953dec4l0i1uso41jlanmo9c4v,0,26,0.0,0.0004023146579145736
17f695d390el0i1usszzihpctlfb2,2,23,0.0,0.0004280983963079139
17f69c4aefal0i1usvodp9osviy7v,1,2,0.0,0.0005163849671908519
17f696099a7l0i1ut7jqzmbg7hm5tk,0,3,0.0,0.0004023146579145736
17f69a82a2el0i1uta5rxvqv53g7e,3,3,7.191130172400154e-07,0.0006996242762654228
17f697d2396l0i1utcv9km3qxcnt6m,3,4,1.677930373560036e-06,0.0006709794521542313
17f6953f0d5l0i1uthl5j30bc50wdo,0,12,0.0,0.0004023146579145736
17f69c1bc31l0i1utrgxwhdp1csdis,1,3,0.0,0.00044536166129005626
17f69c68871l0i1utx4r38kpdj1yil,3,6,0.0,0.0005343052850945257
17f69e15137l0i1uu7e0w9qynlhveh,5,5,1.1985216954000258e-06,0.0006965704349284926
17f69b45618l0i1uuc1z6qlw7hnnq,7,16,2.7629920151288598e-05,0.0006488270076971636
17f69814439l0i1uuifby3b0bn9gs,2,10,2.8764520689600615e-06,0.000506031483163521
17f69bf253bl0i1uuma3733w2zwodm,0,3,0.0,0.0004023146579145736
17f695140e9l0i1uuu2pjzqqsbskl,0,0,0.0,0.0004023146579145736
17f695022a1l0i1uv9aohy5ip9yh9f,0,6,0.0,0.0004023146579145736
17f69a5abc3l0i1uvfn18gmmqaf8jvj,5,4,1.1985216954000258e-06,0.0007419737758303838
17f69cbe6cbl0i1uvgek1x2hoimz99,0,2,0.0,0.0004023146579145736
17f698b6791l0i1uvgjwlxwarfpe7a,1,5,0.0,0.0004593498125527127
17f69b5bcb4l0i1uvn888e99evsdgh,0,2,0.0,0.0004023146579145736
17f69644c82l0i1uw7sqlk2v4b6bfg,0,15,0.0,0.0004023146579145736
17f699223e7l0i1uwcol7wflmcgajb,1,1,2.3970433908000515e-07,0.0007445255857434084
17f69a078e0l0i1uwdp4xqjq6cpbxl,7,26,0.00010997635076990637,0.0005749713255509082
17f69bfa759l0i1uwfa0yrdvzcov1i,0,3,0.0,0.0004023146579145736
17f696318a4l0i1uwi4cr4u43opdj5,1,11,0.0,0.00043083223523364314
17f69a48308l0i1ux3rigvv37tx84f,0,1,0.0,0.0004023146579145736
17f69dbf58cl0i1ux7vft8wsk6ejbb,3,4,7.191130172400154e-07,0.0006289477775880003
17f699a40dfl0i1ux9v66kv7dyxcqx,0,2,0.0,0.0004023146579145736
17f69e11c75l0i1uxa6gb2wpb12ipb,1,1,2.3970433908000515e-07,0.000573420121828991
17f698a5648l0i1uxs5sk4eq7dy3vh,0,1,0.0,0.0004023146579145736
17f697f4363l0i1uy2tk9e7g2jqcu,0,0,0.0,0.0004023146579145736
17f69a3b2f2l0i1uy2usy0fea155ms,0,1,0.0,0.0004023146579145736
17f69d3101al0i1uyefex03ulrqazi,0,7,0.0,0.0004023146579145736
17f69d237f0l0i1uytr06ed4gz92qdj,3,5,5.752904137920123e-06,0.0005255589522733381
17f6963b02cl0i1uyzthmeyyq45wna,1,11,2.3970433908000515e-07,0.00042863857543986856
