node_id,node_type,name,description,raw_endpoint,extra_json,description_length,location_degree,drop_degree,name_length,has_image,in_degree,out_degree,betweenness,pagerank
17f695abef9l0i1ujzrup5y0z7rw6,boss,Abductor Virgins,Deadly mechanical constructs who wield massive blades.,bosses,"{""drops"": [""10.000 Runes"", ""Inquisitor's Girandole""], ""healthPoints"": ""???"", ""image"": null, ""location"": ""Volcano Manor"", ""region"": ""Mount Gelmir""}",54,0,1,16,0,0,7,0.0,0.0005084358134138552
17f69b4ba0al0i1uk6s98t1nbtxunt,boss,"Alecto, Black Knife Ringleader",Remarkably agile and aggressive warrior. Dangerous even for those with shield coverage...,bosses,"{""drops"": [""8.000 Runes"", ""Black Knife Tiche""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69b4ba0al0i1uk6s98t1nbtxunt.png"", ""location"": ""Ringleader's Evergoal, Liurnia of the Lakes"", ""region"": ""Liurnia of the Lakes""}",89,0,0,30,1,7,18,0.0,0.0006456219420954167
17f69d0313fl0i1uk8pokynv71bkz8,boss,Alecto Black Knife Ringleader,Remarkably agile and aggressive warrior. Dangerous even for those with shield coverage...,bosses,"{""drops"": [""80.000 Runes"", ""Other Drops""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69d0313fl0i1uk8pokynv71bkz8.png"", ""location"": ""Limgrave"", ""region"": ""Liurnia of the Lakes""}",89,0,0,29,1,7,13,0.0,0.0006988653648224971
17f69b85929l0i1ukc4l2up7yp9v0i,boss,Alabaster Lord,An Evergaol prisoner wielding a vicious sword and the void with murderous intent.,bosses,"{""drops"": [""3.600 Runes"", ""Meteorite""], ""healthPoints"": ""???"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69b85929l0i1ukc4l2up7yp9v0i.png"", ""location"": ""Royal Grave Evergaol, Liurnia of the Lakes"", ""region"": ""Liurnia of the Lakes""}",81,1,0,14,1,9,18,4.8527489825846135e-05,0.0007626097327573459
17f69a3ca37l0i1ukd1lq14ctafbk,boss,"Adan, Thief Of Fire","An evergaol prisoner and former battle mage, Adan wields a spiked flail and uses stolen knowledge of fire magic to great effect.",bosses,"{""drops"": [""3.800 Runes"", ""Flame of the Fell God""], ""healthPoints"": ""2200"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69a3ca37l0i1ukd1lq14ctafbk.png"", ""location"": ""Malefactor's Evergaol"", ""region"": ""Liurnia of the Lakes""}",128,1,0,19,1,0,1,0.0,0.0005084358134138552
17f69a63610l0i1ukyx7xgx6vf0zoa,boss,Ancient Dragon Lansseax,Lansseax was the sister of Fortissax. It is said that she took the from of a human to commune with the knights as a priestess of the ancient dragon cult.,bosses,"{""drops"": [""60.000 Runes"", ""Lansseax's Glaive""], ""healthPoints"": ""9087"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69a63610l0i1ukyx7xgx6vf0zoa.png"", ""location"": ""Altus Plateau"", ""region"": ""Altus Plateau""}",153,0,0,23,1,0,6,0.0,0.0005084358134138552
17f69590896l0i1ul0hnmor8iyf9xd,boss,Ancestor Spirit,"A glowing spirit that takes the form of a large deer, making it a menacing threat when charging at targets.",bosses,"{""drops"": [""13.000 Runes"", ""Ancestral Follower Ashes""], ""healthPoints"": ""2200"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69590896l0i1ul0hnmor8iyf9xd.png"", ""location"": ""Siofra River"", ""region"": ""Limgrave""}",107,0,0,15,1,0,2,0.0,0.0005084358134138552
17f69878c4al0i1ul0i7dsfou8igrk,boss,Ancient Hero Of Zamor,"Noticeably agile, frost-made creature suceptible to magic attacks.",bosses,"{""drops"": [""5,400 Runes"", ""Radagon's Scarseal"", ""83,000 Runes"", ""Zamor Curved Sword"", ""Zamor Mask"", ""Zamor Armor"", ""Zamor Bracelets"", ""Zamor Legwraps""], ""healthPoints"": "" 2200"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69878c4al0i1ul0i7dsfou8igrk.png"", ""location"": ""Weeping Evergaol, Giant-Conquering Hero's Grave"", ""region"": ""Weeping Peninsula""}",66,2,1,21,1,0,4,0.0,0.0005084358134138552
17f697240ecl0i1ul21nevug9wq54e,boss,Beast Clergyman,"Temporarily overtaken by their bestial rage, the Beast Clergyman attacks ferociously, throwing rocks and themselves at their foes. Calm their aggression and return them to their senses.",bosses,"{""drops"": [""N/A""], ""healthPoints"": ""2200"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f697240ecl0i1ul21nevug9wq54e.png"", ""location"": ""Crumbling Farum Azula"", ""region"": ""Caelid""}",185,0,0,15,1,0,6,0.0,0.0005084358134138552
17f69bcfd7dl0i1ul502rklvi8tx62,boss,"Astel, Stars Of Darkness","A hostile, massive Dragon-Fly creature. Menacing and extremely powerful.",bosses,"{""drops"": [""120000 Runes"", ""Meteorite of Astel""], ""healthPoints"": ""25,376"", ""image"": ""https://eldenring.fanapis.com/images/bosses/17f69bcfd7dl0i1ul502rklvi8tx62.png"", ""location"": ""Yelough Anix Tunnel in Consecrated Snowfield"", ""region"": ""Consecrated Snowfield""}",72,0,0,24,1,0,0,0.0,0.0005084358134138552
