node_id,node_type,name,description,source,metadata,community,centrality
17f69e47912l0i1z0lip3kamll88h,item,Blue Cipher Ring,"Item for online play. Puts the wearer in ready state to answer should someone in another world call for rescue. You will be summoned to their world as a hunter. When summoned to rescue another player, your objective will be to defeat the invader.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69e47912l0i1z0lip3kamll88h.png"", ""type"": ""Reusable""}",0,0.0
17f69cb5ad0l0i1z0lpxlgghg1a5nd,item,White Cipher Ring,"Item for online play. Allows you to automatically request for a hunter from another world to come to your rescue when your world is invaded. (You may be unable to summon rescuers under certain circumstances). A lost mystic code, enchanted to take the form of a ring. One of the fetishes said to have been bestowed by the Two Fingers.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69cb5ad0l0i1z0lpxlgghg1a5nd.png"", ""type"": ""Reusable""}",81,0.0
17f69c39d47l0i1zxgqfco64hbk1nd,item,Furlcalling Finger Remedy,"Item for online play. Craftable item. Reveals cooperative and competitive multiplayer signs. Co-op summoning signs will be shown in gold, while hostile summoning signs will be shown in red. Multiplayer begins when you summon a player from another world through their sign.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69c39d47l0i1zxgqfco64hbk1nd.png"", ""type"": ""Consumable""}",2,0.0
17f69d424cel0i1z0mj267csnydppy,item,Tarnished's Furled Finger,"Item for online play. Creates a summon sign for cooperative multiplayer. Your objective will be to defeat the area boss of the world to which you were summoned. A finger of corpse wax, furled like a hook. It is a relic of those who came before, left to help those who would come after.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69d424cel0i1z0mj267csnydppy.png"", ""type"": ""Reusable""}",3,0.0
17f698fa494l0i1z0mm3upwg29zx1p,item,Finger Severer,Item for online play.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f698fa494l0i1z0mm3upwg29zx1p.png"", ""type"": ""Consumable""}",4,0.0
17f696e0825l0i1z1b0yp9snq79rx9,item,Duelist's Furled Finger,"Item for online play. Creates a summon sign for competitive multiplayer. Your objective will be to defeat the Host of Fingers of the world to which you were summoned. A finger of corpse wax, furled like a hook. The bronze adornments are the mark of a duelist.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f696e0825l0i1z1b0yp9snq79rx9.png"", ""type"": ""Reusable""}",5,0.0
17f69aa4eebl0i201qxnapq8bgdxs,item,Memory Of Grace,"A phantom vision of the first grace, which once guided the Tarnished to the Lands Between. Lose all runes and return to last site of grace at which you rested. It all repeats. Be seen by the Elden Ring. Become the Elden Lord.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69aa4eebl0i201qxnapq8bgdxs.png"", ""type"": ""Reusable""}",6,0.00015424482512301554
17f698b2c80l0i1z1bptckziolc5y7,item,Tarnished's Wizened Finger,"Item for online play. (Can also be used from the Messages menu.) Use to write messages. Your messages will be conveyed to other worlds, allowing other players to read them. A finger of corpse wax, so emaciated the bone is visible. It is a relic of those who came before, left to help those who would come after.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f698b2c80l0i1z1bptckziolc5y7.png"", ""type"": ""Reusable""}",7,0.0
17f69a78385l0i1z1czzifpit6ox3p,item,Taunter's Tongue,"Item for online play. Lures in invaders. This allows your world to be invaded without any Furled Finger cooperators present, and it also shortens the interval between windows of opportunity for invasion. Additionally, enables the arrival of a second invader. (When two invaders are present, you will be limited to one cooperator.)",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69a78385l0i1z1czzifpit6ox3p.png"", ""type"": ""Reusable""}",8,0.0
17f697244e5l0i1z1detjfd6slms6p,item,Bloody Finger,"Item for online play. Attempts an invasion of another player's world. If successful, your objective will be to defeat the Host of Fingers of the world to which you were summoned. The nail of this finger is shot through with streaks of fresh, glistening blood. The finger's sickly pale skin feels nothing now, but the nail still aches with sweetest pain.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f697244e5l0i1z1detjfd6slms6p.png"", ""type"": ""Reusable""}",9,0.000694513763281907
17f69717335l0i1z1ugb9kk8smactr,item,Small Golden Effigy,"Online multiplayer item. Sends a summon sign for cooperative multiplayer to a nearby summoning pool. In cooperative multiplayer, you will be summoned to another world to help defeat the area boss.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69717335l0i1z1ugb9kk8smactr.png"", ""type"": ""Reusable""}",10,0.0
17f69aab07al0i1z1ujum0v02t4lr,item,Small Red Effigy,"Item for online play. Sends a competitive sign to a nearby summoning pool. In competitive multiplayer, your objective will be to defeat the Host of Fingers of the world to which you were summoned.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69aab07al0i1z1ujum0v02t4lr.png"", ""type"": ""Reusable""}",11,0.0
17f69ae7f2cl0i1z1vi2pn3lxnbuv1,item,Festering Bloody Finger,Item for online play.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69ae7f2cl0i1z1vi2pn3lxnbuv1.png"", ""type"": ""Consumable""}",12,0.0
17f69ac860fl0i1z2dnysa6pbi4pu,item,Smithing Stone [3],Stone used to smith a variety of armaments. A particularly hard specimen.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69ac860fl0i1z2dnysa6pbi4pu.png"", ""type"": ""Misc""}",13,0.0
17f695e1877l0i1z2esul0ltnftrn,item,Smithing Stone [2],"Stone used to smith a variety of armaments. A large shard found in plenty. Strengthens armaments up to +6. Smithing stone is found throughout the Lands Between, and mining galleries built to excavate it can be found everywhere",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f695e1877l0i1z2esul0ltnftrn.png"", ""type"": ""Misc""}",6,0.0013000835441311048
17f69bee3a7l0i1z2fc6lkodwqn7x3,item,Smithing Stone [4],Stone used to smith a variety of armaments. A large and particularly hard specimen.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69bee3a7l0i1z2fc6lkodwqn7x3.png"", ""type"": ""Misc""}",14,0.0
17f695d4f2el0i1z2y303232bvbqcsm,item,Smithing Stone [5],"Stone used to smith a variety of armamemnts. A rare specimen, it is tinged with gold.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f695d4f2el0i1z2y303232bvbqcsm.png"", ""type"": ""Misc""}",15,0.0
17f6973188al0i1z2yq2dinoi6bw1s,item,Smithing Stone [7],"Stone used to smith a variey of armaments. Found in a polar region, it is semi-vitrified.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f6973188al0i1z2yq2dinoi6bw1s.png"", ""type"": ""Misc""}",199,0.0
17f697b82e2l0i1z2zbvgg37zujx7h,item,Smithing Stone [6],"Stone used to smith a variety of armaments. A larger rare specimen, it is tinged with gold.",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f697b82e2l0i1z2zbvgg37zujx7h.png"", ""type"": ""Misc""}",17,2.9223633971655635e-06
17f69ce5a34l0i1z3ghagihivxr1l8,item,Smithing Stone [8],"Stone used to smith a variety of armaments. Found in a polar region, it is semi-vitrified",api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69ce5a34l0i1z3ghagihivxr1l8.png"", ""type"": ""Misc""}",18,0.0
17f69575078l0i1z3hvssftszqfcdc,item,Ancient Dragon Smithing Stone,"Smithing stone made polishing a golden Gravel Stone. A scale of the Ancient Dragonlord, and hidden treasure of Farum Azula Ancient Dragon Smithing Stone is an Upgrade Material in Elden Ring. Ancient Dragon Smithing Stone strengthens armaments up to +25. Upgrade Materials can be acquired through exploration, looting from specific Locations, dropped by specific Enemies or Bosses, given by NPCs, or sold by Merchants.",merged,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69575078l0i1z3hvssftszqfcdc.png"", ""type"": ""Misc"", ""wiki_url"": ""https://eldenring.wiki.fextralife.com/Ancient+Dragon+Smithing+Stone""}",6,0.0007052073317574801
17f699e3818l0i1z3py7vre05m7hde,item,Somber Smithing Stone [1],Shard of smithing stone drained of color. Strengthens special armaments to +1. Special armements with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f699e3818l0i1z3py7vre05m7hde.png"", ""type"": ""Misc""}",199,0.002186899035796895
17f69557171l0i1z41hmz7jh3lkd3r,item,Somber Smithing Stone [2],Large shard of smithing stone drained of color. Strengthens special armaments to +2. Special armements with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69557171l0i1z41hmz7jh3lkd3r.png"", ""type"": ""Misc""}",199,0.0009679624815833587
17f698e70cfl0i1z46kcgxebtfpmk9,item,Somber Smithing Stone [4],Large hard smithing stone drained of color.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f698e70cfl0i1z46kcgxebtfpmk9.png"", ""type"": ""Misc""}",19,0.0
17f69955de5l0i1z49nehfqmj45gnf,item,Somber Smithing Stone [3],Hard smithing stone drained of color.,api,"{""image"": ""https://eldenring.fanapis.com/images/items/17f69955de5l0i1z49nehfqmj45gnf.png"", ""type"": ""Misc""}",20,0.0
